auction_date,bid_date,bidder_id,bid_id,bid_amount,site_name,auction_id,bstock_condition_name,bstock_category_name
9/13/2022,2022-09-13 17:33:07.000000 UTC,62e329abff03c2000d83079d,17819736,2876,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-07 19:13:49.000000 UTC,6013639cc8ce886da943be4d,17768356,200,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:10:40.000000 UTC,6013639cc8ce886da943be4d,17819008,2600,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-08 16:26:00.000000 UTC,5e85a1d7c8ce886c84641f51,17776737,826,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-11 05:10:50.000000 UTC,620412efc8ce885c4ac7395f,17801417,1850,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-07 19:23:19.000000 UTC,54c35627421aa90e95616a59,17768645,225,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-08 18:10:13.000000 UTC,5e45a255c8ce886c859ecfee,17780054,1590,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-08 09:08:44.000000 UTC,60f9ad9cc8ce886da7e41b40,17774565,701,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:13:09.000000 UTC,62e329abff03c2000d83079d,17819104,2625,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 15:20:44.000000 UTC,62e329abff03c2000d83079d,17817196,2201,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:09:38.000000 UTC,54c36026421aa90e9061f860,17818980,2530,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-07 19:08:35.000000 UTC,54c35849421aa90e9061a6d5,17768183,100,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:20:25.000000 UTC,54c36026421aa90e9061f860,17819347,2670,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:24:24.000000 UTC,54c36026421aa90e9061f860,17819472,2800,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 15:32:53.000000 UTC,62e329abff03c2000d83079d,17817293,2337,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-08 09:07:34.000000 UTC,60f9ad9cc8ce886da7e41b40,17774562,650,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:25:47.000000 UTC,62e329abff03c2000d83079d,17819520,2826,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-08 09:36:09.000000 UTC,62fd8812ff03c2000d878106,17774588,926,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:09:14.000000 UTC,54c36026421aa90e9061f860,17818964,2500,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:33:16.000000 UTC,62e329abff03c2000d83079d,17819741,3000,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-11 05:10:58.000000 UTC,620412efc8ce885c4ac7395f,17801418,2005,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-09 18:55:13.000000 UTC,5eed011ac8ce880625ba0a1c,17795456,2025,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 15:20:18.000000 UTC,62e329abff03c2000d83079d,17817191,2075,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-07 20:38:56.000000 UTC,62fd8812ff03c2000d878106,17771003,650,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-11 05:11:07.000000 UTC,620412efc8ce885c4ac7395f,17801419,2150,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-07 19:39:02.000000 UTC,54c35627421aa90e95616a59,17769180,325,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 15:29:34.000000 UTC,6013639cc8ce886da943be4d,17817274,2300,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:20:53.000000 UTC,62e329abff03c2000d83079d,17819361,2750,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-08 16:26:10.000000 UTC,5e85a1d7c8ce886c84641f51,17776739,987,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 15:20:28.000000 UTC,62e329abff03c2000d83079d,17817194,2125,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:03:14.000000 UTC,6013639cc8ce886da943be4d,17818776,2501,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-07 23:53:02.000000 UTC,6013639cc8ce886da943be4d,17772838,600,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-07 19:29:43.000000 UTC,626ead6dff03c2000b200ba3,17768859,250,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 16:12:53.000000 UTC,62e329abff03c2000d83079d,17817684,207,ABC,1640484,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 15:19:03.000000 UTC,62e329abff03c2000d83079d,17817181,155,ABC,1640484,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-07 19:36:19.000000 UTC,62e329abff03c2000d83079d,17769076,100,ABC,1640484,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-07 19:44:44.000000 UTC,54c35627421aa90e95616a59,17769312,150,ABC,1640484,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-10 08:02:33.000000 UTC,5e85a1d7c8ce886c84641f51,17799636,1200,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-08 07:07:06.000000 UTC,572cfa67421aa90c80a34448,17774437,300,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-10 08:02:41.000000 UTC,5e85a1d7c8ce886c84641f51,17799637,1400,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-10 08:02:55.000000 UTC,5e85a1d7c8ce886c84641f51,17799638,1700,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-10 05:50:46.000000 UTC,61841697c8ce886da7fc723d,17799572,950,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-08 09:11:09.000000 UTC,60f9ad9cc8ce886da7e41b40,17774566,301,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-07 19:13:43.000000 UTC,62e329abff03c2000d83079d,17768355,100,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-13 15:21:29.000000 UTC,62e329abff03c2000d83079d,17817203,1902,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-08 22:08:25.000000 UTC,61659a6cc8ce886da7f6cf1f,17789515,1032,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-07 19:47:20.000000 UTC,54c35627421aa90e95616a59,17769390,225,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-08 22:08:15.000000 UTC,61659a6cc8ce886da7f6cf1f,17789514,732,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-13 15:21:43.000000 UTC,62e329abff03c2000d83079d,17817207,2021,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-12 22:33:26.000000 UTC,5d687a77e3d460052b26884d,17813856,2500,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-07 23:08:12.000000 UTC,607c8433c8ce886dab9bbe12,17772604,250,ABC,1640485,Like New,Furniture
