auction_date_transformed,auction_id,bstock_category_name,bid_date,bid_id,bidder_id,bid_amount_transformed
2022-09-13,1640485,Furniture,"2022-09-13 15:21:43.000000 UTC",17817207,62e329abff03c2000d83079d,2021
2022-09-13,1640485,Furniture,"2022-09-13 15:21:59.000000 UTC",17817208,62e329abff03c2000d83079d,2111
2022-09-13,1640485,Furniture,"2022-09-13 15:22:08.000000 UTC",17817210,62e329abff03c2000d83079d,2202
2022-09-13,1640485,Furniture,"2022-09-13 15:48:38.000000 UTC",17817435,62e329abff03c2000d83079d,2302
2022-09-13,1640485,Furniture,"2022-09-13 15:48:48.000000 UTC",17817437,62e329abff03c2000d83079d,2401
2022-09-13,1640485,Furniture,"2022-09-12 22:33:26.000000 UTC",17813856,5d687a77e3d460052b26884d,2500
2022-09-13,1640485,Furniture,"2022-09-13 15:48:56.000000 UTC",17817438,62e329abff03c2000d83079d,2521
2022-09-13,1640486,"Consumer Electronics","2022-09-07 19:09:29.000000 UTC",17768209,62e329abff03c2000d83079d,100
2022-09-13,1640486,"Consumer Electronics","2022-09-07 19:28:25.000000 UTC",17768808,626ead6dff03c2000b200ba3,125
2022-09-13,1640486,"Consumer Electronics","2022-09-08 03:59:49.000000 UTC",17774027,62bd1a96ff03c200105701ad,200
2022-09-13,1640486,"Consumer Electronics","2022-09-07 19:47:52.000000 UTC",17769406,54c35627421aa90e95616a59,225
2022-09-13,1640486,"Consumer Electronics","2022-09-09 13:02:47.000000 UTC",17791859,626ead6dff03c2000b200ba3,250
2022-09-13,1640486,"Consumer Electronics","2022-09-10 05:50:08.000000 UTC",17799570,61841697c8ce886da7fc723d,275
2022-09-13,1640486,"Consumer Electronics","2022-09-10 12:32:34.000000 UTC",17799771,5d42dd06e3d460052763b8ba,300
2022-09-13,1640486,"Consumer Electronics","2022-09-11 16:01:22.000000 UTC",17801888,601b714dc8ce886da83576a6,400
2022-09-13,1640486,"Consumer Electronics","2022-09-12 14:18:27.000000 UTC",17804109,626ead6dff03c2000b200ba3,450
2022-09-13,1640486,"Consumer Electronics","2022-09-12 23:10:09.000000 UTC",17814086,54c35627421aa90e95616a59,525
2022-09-13,1640486,"Consumer Electronics","2022-09-12 23:10:20.000000 UTC",17814087,54c35627421aa90e95616a59,625
2022-09-13,1640486,"Consumer Electronics","2022-09-12 23:10:33.000000 UTC",17814089,54c35627421aa90e95616a59,725
2022-09-13,1640486,"Consumer Electronics","2022-09-13 15:22:54.000000 UTC",17817220,62e329abff03c2000d83079d,775
2022-09-13,1640486,"Consumer Electronics","2022-09-13 15:23:02.000000 UTC",17817222,62e329abff03c2000d83079d,922
